"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Learned Risk Metric Maps for Kinodynamic Systems","R. E. Allen; W. Xiao; D. Rus","Massachusetts Institute of Technology, Lincoln Laboratory, Lexington, MA, USA; Massachusetts Institute of Technology, Computer Science and Artificial Intelligence Laboratory, Cambridge, MA, USA; Massachusetts Institute of Technology, Computer Science and Artificial Intelligence Laboratory, Cambridge, MA, USA",2023 IEEE International Conference on Robotics and Automation (ICRA),"4 Jul 2023","2023","","","961","967","We present Learned Risk Metric Maps (LRMM) for real-time estimation of coherent risk metrics of high-dimensional dynamical systems operating in unstructured, partially observed environments. LRMM models are simple to design and train-requiring only procedural generation of obstacle sets, state and control sampling, and supervised training of a function approximator-which makes them broadly applicable to arbitrary system dynamics and obstacle sets. In a parallel autonomy setting, we demonstrate the model's ability to rapidly infer collision probabilities of a fast-moving car-like robot driving recklessly in an obstructed environment; allowing the LRMM agent to intervene, take control of the vehicle, and avoid collisions. In this time-critical scenario, we show that LRMMs can evaluate risk metrics 20-100x times faster than alternative safety algorithms based on control barrier functions (CBFs) and Hamilton-Jacobi reachability (HJ-reach), leading to 5–15 % fewer obstacle collisions by the LRMM agent than CBFs and HJ-reach. This performance improvement comes in spite of the fact that the LRMM model only has access to local/partial observation of obstacles, whereas the CBF and HJ-reach agents are granted privileged/global information. We also show that our model can be equally well trained on a 12-dimensional quadrotor system operating in an obstructed indoor environment. The LRMM codebase is provided at https://github.com/mit-drl/pyrmm.","","979-8-3503-2365-8","10.1109/ICRA48891.2023.10160680","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10160680","","Measurement;Training;System dynamics;Estimation;Real-time systems;Safety;Time factors","","","","34","IEEE","4 Jul 2023","","","IEEE","IEEE Conferences"
"nerf2nerf: Pairwise Registration of Neural Radiance Fields","L. Goli; D. Rebain; S. Sabour; A. Garg; A. Tagliasacchi",University of Toronto; UBC; University of Toronto; University of Toronto; University of Toronto,2023 IEEE International Conference on Robotics and Automation (ICRA),"4 Jul 2023","2023","","","9354","9361","We introduce a technique for pairwise registration of neural fields that extends classical optimization-based local registration (i.e. ICP) to operate on Neural Radiance Fields (NeRF)-neural 3D scene representations trained from collections of calibrated images. NeRF does not decompose illumination and color, so to make registration invariant to illumination, we introduce the concept of a “surface field” - a field distilled from a pre-trained NeRF model that measures the likelihood of a point being on the surface of an object. We then cast nerf2nerf registration as a robust optimization that iteratively seeks a rigid transformation that aligns the surface fields of the two scenes. We evaluate the effectiveness of our technique by introducing a dataset of pre-trained NeRF scenes - our synthetic scenes enable quantitative evaluations and comparisons to classical registration techniques, while our real scenes demonstrate the validity of our technique in real-world scenarios. Additional results available at: https://nerf2nerf.github.io","","979-8-3503-2365-8","10.1109/ICRA48891.2023.10160794","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10160794","","Point cloud compression;Analytical models;Visualization;Image color analysis;Pipelines;Urban areas;Lighting","","14","","65","IEEE","4 Jul 2023","","","IEEE","IEEE Conferences"
"Adaptive Sampling-based Particle Filter for Visual-inertial Gimbal in the Wild","X. Kang; A. Herrera; H. Lema; E. Valencia; P. Vandewalle","PSI Department of Electrical Engineering, (ESAT), KU Leuven, Belgium; Department of Mechanical Engineering, Escuela Politecnica Nacional (EPN), Ecuador; Department of Mechanical Engineering, Escuela Politecnica Nacional (EPN), Ecuador; Department of Mechanical Engineering, Escuela Politecnica Nacional (EPN), Ecuador; PSI Department of Electrical Engineering, (ESAT), KU Leuven, Belgium",2023 IEEE International Conference on Robotics and Automation (ICRA),"4 Jul 2023","2023","","","2738","2744","In this paper, we present a Computer Vision (CV) based tracking and fusion algorithm, dedicated to a 3D printed gimbal system on drones flying in nature. The whole gimbal system can stabilize the camera orientation robustly in challenging environments by using skyline and ground plane as references. Our main contributions are the following: a) a light-weight Resnet-18 backbone network model was trained from scratch, and deployed onto the Jetson Nano platform to segment the image specifically into binary parts (ground and sky); b) our geometry assumption from the skyline and ground cues delivers the potential for robust visual tracking in the wild by using the skyline and ground plane as references; c) a manifold surface-based adaptive particle sampling can fuse orientation from multiple sensor sources flexibly. The whole algorithm pipeline is tested on our 3D-printed gimbal module with Jetson Nano. The experiments were performed on top of a building in a real landscape. The public code link: https://github.com/alexandor91/gimbal-fusion.git.","","979-8-3503-2365-8","10.1109/ICRA48891.2023.10160395","VLIR-UOS(grant numbers:EC2020SIN278A101); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10160395","","Manifolds;Geometry;Visualization;Image segmentation;Three-dimensional displays;Fuses;Pipelines","","1","","40","IEEE","4 Jul 2023","","","IEEE","IEEE Conferences"
"Dynamic Control Barrier Function-based Model Predictive Control to Safety-Critical Obstacle-Avoidance of Mobile Robot","Z. Jian; Z. Yan; X. Lei; Z. Lu; B. Lan; X. Wang; B. Liang","Center for Artificial Intelligence and Robotics, Shenzhen International Graduate School, Tsinghua University, Shenzhen, China; Center for Artificial Intelligence and Robotics, Shenzhen International Graduate School, Tsinghua University, Shenzhen, China; Department of D-MAVT, ETH Zurich, Zurich, Switzerland; School of Mechanical Engineering and Automation at Harbin Institute of Technology, Shenzhen, China; Jianghuai Advance Technology Center, China; Center for Artificial Intelligence and Robotics, Shenzhen International Graduate School, Tsinghua University, Shenzhen, China; Center for Artificial Intelligence and Robotics, Shenzhen International Graduate School, Tsinghua University, Shenzhen, China",2023 IEEE International Conference on Robotics and Automation (ICRA),"4 Jul 2023","2023","","","3679","3685","This paper presents an efficient and safe method to avoid static and dynamic obstacles based on LiDAR. First, point cloud is used to generate a real-time local grid map for obstacle detection. Then, obstacles are clustered by DBSCAN algorithm and enclosed with minimum bounding ellipses (MBEs). In addition, data association is conducted to match each MBE with the obstacle in the current frame. Considering MBE as an observation, Kalman filter (KF) is used to estimate and predict the motion state of the obstacle. In this way, the trajectory of each obstacle in the forward time domain can be parameterized as a set of ellipses. Due to the uncertainty of the MBE, the semi-major and semi-minor axes of the parameterized ellipse are extended to ensure safety. We extend the traditional Control Barrier Function (CBF) and propose Dynamic Control Barrier Function (D-CBF). We combine D-CBF with Model Predictive Control (MPC) to implement safety-critical dynamic obstacle avoidance. Experiments in simulated and real scenarios are conducted to verify the effectiveness of our algorithm. The source code is released for the reference of the community11Code: https://github.com/jianzhuozhuTHU/MPC-D-CBF..","","979-8-3503-2365-8","10.1109/ICRA48891.2023.10160857","National Natural Science Foundation of China(grant numbers:U21B6002,U1813216); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10160857","","Uncertainty;Laser radar;Heuristic algorithms;Source coding;Prediction algorithms;Trajectory;Kalman filters","","34","","37","IEEE","4 Jul 2023","","","IEEE","IEEE Conferences"
"DexGraspNet: A Large-Scale Robotic Dexterous Grasp Dataset for General Objects Based on Simulation","R. Wang; J. Zhang; J. Chen; Y. Xu; P. Li; T. Liu; H. Wang",Peking University; Peking University; Peking University; Peking University; Beijing Institute for General Artificial Intelligence; Beijing Institute for General Artificial Intelligence; Peking University,2023 IEEE International Conference on Robotics and Automation (ICRA),"4 Jul 2023","2023","","","11359","11366","Robotic dexterous grasping is the first step to enable human-like dexterous object manipulation and thus a crucial robotic technology. However, dexterous grasping is much more under-explored than object grasping with parallel grippers, partially due to the lack of a large-scale dataset. In this work, we present a large-scale robotic dexterous grasp dataset, DexGraspNet, generated by our proposed highly efficient synthesis method that can be generally applied to any dexterous hand. Our method leverages a deeply accelerated differentiable force closure estimator and thus can efficiently and robustly synthesize stable and diverse grasps on a large scale. We choose ShadowHand and generate 1.32 million grasps for 5355 objects, covering more than 133 object categories and containing more than 200 diverse grasps for each object instance, with all grasps having been validated by the Isaac Gym simulator. Compared to the previous dataset from Liu et al. generated by GraspIt!, our dataset has not only more objects and grasps, but also higher diversity and quality. Via performing cross-dataset experiments, we show that training several algorithms of dexterous grasp synthesis on our dataset significantly outperforms training on the previous one. To access our data and code, including code for human and Allegro grasp synthesis, please visit our project page: https://pku-epic.github.io/DexGraspNet/.","","979-8-3503-2365-8","10.1109/ICRA48891.2023.10160982","National Key R&D Program of China(grant numbers:2022ZD0114900); Beijing Municipal Science & Technology Commission(grant numbers:Z221100003422004); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10160982","","Training;Measurement;Codes;Automation;Force;Grasping;Grippers","","27","","65","IEEE","4 Jul 2023","","","IEEE","IEEE Conferences"
"UDepth: Fast Monocular Depth Estimation for Visually-guided Underwater Robots","B. Yu; J. Wu; M. J. Islam","Electrical and Computer Engineering (ECE) department, Robot Perception and Intelligence (RoboPI) laboratory, University of Florida, USA; Electrical and Computer Engineering (ECE) department, Robot Perception and Intelligence (RoboPI) laboratory, University of Florida, USA; Electrical and Computer Engineering (ECE) department, Robot Perception and Intelligence (RoboPI) laboratory, University of Florida, USA",2023 IEEE International Conference on Robotics and Automation (ICRA),"4 Jul 2023","2023","","","3116","3123","In this paper, we present a fast monocular depth estimation method for enabling 3D perception capabilities of low-cost underwater robots. We formulate a novel end-to-end deep visual learning pipeline named UDepth, which incorporates domain knowledge of image formation characteristics of natural underwater scenes. First, we adapt a new input space from raw RGB image space by exploiting underwater light attenuation prior, and then devise a least-squared formulation for coarse pixel-wise depth prediction. Subsequently, we extend this into a domain projection loss that guides the end-to-end learning of UDepth on over 9K RGB-D training samples. UDepth is designed with a computationally light MobileNetV2 backbone and a Transformer-based optimizer for ensuring fast inference rates on embedded systems. By domain-aware design choices and through comprehensive experimental analyses, we demonstrate that it is possible to achieve state-of-the-art depth estimation performance while ensuring a small computational footprint. Specifically, with 70 % −80 % less network parameters than existing benchmarks, UDepth achieves comparable and often better depth estimation performance. While the full model offers over 66 FPS (13 FPS) inference rates on a single GPU (CPU core), our domain projection for coarse depth prediction runs at 51.5 FPS rates on single-board Jetson TX2s. The inference pipelines are available at https://github.com/uf-robopi/UDepth.","","979-8-3503-2365-8","10.1109/ICRA48891.2023.10161471","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10161471","","Autonomous underwater vehicles;Visualization;Three-dimensional displays;Computational modeling;Pipelines;Estimation;Attenuation","","21","","84","IEEE","4 Jul 2023","","","IEEE","IEEE Conferences"
"Obstacle avoidance using Raycasting and Riemannian Motion Policies at kHz rates for MAVs","M. Pantic; I. Meijer; R. Bähnemann; N. Alatur; O. Andersson; C. Cadena; R. Siegwart; L. Ott","Autonomous Systems Lab, ETH, Zürich, Switzerland; Autonomous Systems Lab, ETH, Zürich, Switzerland; Autonomous Systems Lab, ETH, Zürich, Switzerland; Autonomous Systems Lab, ETH, Zürich, Switzerland; Autonomous Systems Lab, ETH, Zürich, Switzerland; Autonomous Systems Lab, ETH, Zürich, Switzerland; Autonomous Systems Lab, ETH, Zürich, Switzerland; Autonomous Systems Lab, ETH, Zürich, Switzerland",2023 IEEE International Conference on Robotics and Automation (ICRA),"4 Jul 2023","2023","","","1666","1672","This paper presents a novel method for using Riemannian Motion Policies on volumetric maps, shown in the example of obstacle avoidance for Micro Aerial Vehicles (MAVs), Today, most robotic obstacle avoidance algorithms rely on sampling or optimization-based planners with volumetric maps. However, they are computationally expensive and often have inflexible monolithic architectures. Riemannian Motion Policies are a modular, parallelizable, and efficient navigation alternative but are challenging to use with the widely used voxel-based environment representations. We propose using GPU raycasting and tens of thousands of concurrent policies to provide direct obstacle avoidance using Riemannian Motion Policies in voxelized maps without needing map smoothing or pre-processing. Additionally, we present how the same method can directly plan on LiDAR scans without any intermediate map. We show how this reactive approach compares favorably to traditional planning methods and can evaluate up to 200 million rays per second. We demonstrate the planner successfully on a real MAV for static and dynamic obstacles. The presented planner is made available as an open-source package11https://github.com/ethz-asl/reactive_avoidance.","","979-8-3503-2365-8","10.1109/ICRA48891.2023.10161365","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10161365","","Laser radar;Smoothing methods;Navigation;Graphics processing units;Computer architecture;Parallel processing;Planning","","5","","18","IEEE","4 Jul 2023","","","IEEE","IEEE Conferences"
"Feature-Realistic Neural Fusion for Real-Time, Open Set Scene Understanding","K. Mazur; E. Sucar; A. J. Davison","Dyson Robotics Lab, Imperial College, London, UK; Dyson Robotics Lab, Imperial College, London, UK; Dyson Robotics Lab, Imperial College, London, UK",2023 IEEE International Conference on Robotics and Automation (ICRA),"4 Jul 2023","2023","","","8201","8207","General scene understanding for robotics requires flexible semantic representation, so that novel objects and structures which may not have been known at training time can be identified, segmented and grouped. We present an algorithm which fuses general learned features from a standard pre-trained network into a highly efficient 3D geometric neural field representation during real-time SLAM. The fused 3D feature maps inherit the coherence of the neural field's geometry representation. This means that tiny amounts of human labelling interacting at runtime enable objects or even parts of objects to be robustly and accurately segmented in an open set manner. Project page: https://makezur.github.io/FeatureRealisticFusion/","","979-8-3503-2365-8","10.1109/ICRA48891.2023.10160800","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10160800","","Training;Three-dimensional displays;Simultaneous localization and mapping;Runtime;Semantic segmentation;Semantics;Real-time systems","","17","","24","IEEE","4 Jul 2023","","","IEEE","IEEE Conferences"
"Knowledge Distillation for Feature Extraction in Underwater VSLAM","J. Yang; M. Gong; G. Nair; J. H. Lee; J. Monty; Y. Pu","the Department of Electrical and Electronic Engineering, The University of Melbourne; School of Mathematics and Statistics, The University of Melbourne; the Department of Electrical and Electronic Engineering, The University of Melbourne; the Department of Mechanical Engineering, The University of Melbourne; the Department of Mechanical Engineering, The University of Melbourne; the Department of Electrical and Electronic Engineering, The University of Melbourne",2023 IEEE International Conference on Robotics and Automation (ICRA),"4 Jul 2023","2023","","","5163","5169","In recent years, learning-based feature detection and matching have outperformed manually-designed methods in in-air cases. However, it is challenging to learn the features in the underwater scenario due to the absence of annotated underwater datasets. This paper proposes a cross-modal knowl-edge distillation framework for training an underwater feature detection and matching network (UFEN). In particular, we use in-air RGBD data to generate synthetic underwater images based on a physical underwater imaging formation model and employ these as the medium to distil knowledge from a teacher model SuperPoint pretrained on in-air images. We embed UFEN into the ORB-SLAM3 framework to replace the ORB feature by introducing an additional binarization layer. To test the effectiveness of our method, we built a new underwater dataset with groundtruth measurements named EASI (https://github.com/Jinghe-mel/UFEN-SLAM), recorded in an indoor water tank for different turbidity levels. The experimental results on the existing dataset and our new dataset demonstrate the effectiveness of our method.","","979-8-3503-2365-8","10.1109/ICRA48891.2023.10161047","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10161047","","Training;Automation;Feature detection;Imaging;Manuals;Feature extraction;Data models","","4","","33","IEEE","4 Jul 2023","","","IEEE","IEEE Conferences"
"Unsupervised Road Anomaly Detection with Language Anchors","B. Tian; M. Liu; H. -a. Gao; P. Li; H. Zhao; G. Zhou","Department of Computer Science and Technology, Tsinghua University, China; Department of Computer Science and Technology, Tsinghua University, China; Department of Computer Science and Technology, Tsinghua University, China; Department of Computer Science and Technology, Tsinghua University, China; Institute for AI Industry Research (AIR), Tsinghua University, China; Institute for AI Industry Research (AIR), Tsinghua University, China",2023 IEEE International Conference on Robotics and Automation (ICRA),"4 Jul 2023","2023","","","7778","7785","Road anomaly detection is critical to safe autonomous driving, because current road scene understanding models are usually trained in a closed-set manner and fail to identify unknown objects. What's worse, it is difficult, if not impossible, to collect a large-scale dataset with anomaly annotations. So this paper studies unsupervised anomaly detection which finds out anomaly regions using scene parsing logits solely. While former methods depend on the weights learned from the closed training set as anchors for logit generation, we resort to language anchors that are learned from enormous paired vision and language data. Thanks to rich open-set semantic information contained in these language anchors, our method performs better than former unsupervised counterparts while maintaining the advantage of training without accessing any out-of-distribution data. We delve into this new paradigm and identify the superiority of using pair-wise binary logits, which we credit to a better understanding of the negation language anchor. Last but not least, we find that the former top-1 selection of semantic labels for uncertainty measurement is problematic in many cases and a new blended standardization strategy brings clear improvements to our solution. We report state-of-the-art performance on FS LostAndFound, LostAndFound and RoadAnomaly datasets among comparable methods. The codes are publicly available at https://github.com/TB5z035/URAD-LA.git","","979-8-3503-2365-8","10.1109/ICRA48891.2023.10160470","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10160470","","Training;Uncertainty;Codes;Roads;Semantics;Measurement uncertainty;Standardization","","9","","46","IEEE","4 Jul 2023","","","IEEE","IEEE Conferences"
"SGPT: The Secondary Path Guides the Primary Path in Transformers for HOI Detection","S. Chan; W. Wang; Z. Shao; C. Bai","College of Computer Science and Technology, Zhejiang University of Technology, Zhejiang, China; College of Computer Science and Technology, Zhejiang University of Technology, Zhejiang, China; College of Information Science and Engineering, Hunan Normal University, Changsha, China; College of Computer Science and Technology, Zhejiang University of Technology, Zhejiang, China",2023 IEEE International Conference on Robotics and Automation (ICRA),"4 Jul 2023","2023","","","7583","7590","HOI detection is essential for human-computer interaction, especially in behavior detection and robot manipulation. Existing mainstream transformer methods of HOI detection are focused on single-stream detection only, e.g., $image \rightarrow HOI(\mathcal{P}_{1})$, or $image \rightarrow HO\rightarrow I(\mathcal{P}_{2})$. Both paths have their own characteristics of concern, so we propose a novel method, using the Secondary path $(\mathcal{P}_{2})$ Guides the Primary path $(\mathcal{P}_{1})$ in Transformers (SGPT). SGPT contains two core modules: the Dual-Path Consistency (DPC) module and the Instance Interaction Attention (IIA) module. DPC keeps human, object and interaction consistent on the dual-path and lets $\mathcal{P}_{2}$ guide $\mathcal{P}_{1}$ to learn more meaningful features. IIA fuses human and object to enhance interaction in $\mathcal{P}_{2}$, which allows instance to constrain interaction. Our proposed dual-path are employed during training, and only the $\mathcal{P}_{1}$ path is used for inference. Hence, SGPT improves generalization without increasing model capacity in HICO-DET and V-COCO datasets compared to the state-of-the-arts. The code of this work is available at https://github.com/visualVk/sgpt.git.","","979-8-3503-2365-8","10.1109/ICRA48891.2023.10160329","National Natural Science Foundation of China(grant numbers:61906168,U20A20196,62272267,61976191); Zhejiang Provincial Natural Science Foundation of China(grant numbers:LY23F020023); Construction of Hubei Provincial Key Laboratory(grant numbers:2022SDSJ01); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10160329","","Training;Human computer interaction;Codes;Automation;Fuses;Transformer cores;Transformers","","6","","46","IEEE","4 Jul 2023","","","IEEE","IEEE Conferences"
"Flipbot: Learning Continuous Paper Flipping via Coarse-to-Fine Exteroceptive-Proprioceptive Exploration","C. Zhao; C. Jiang; J. Cai; M. Y. Wang; H. Yu; Q. Chen","The Hong Kong University of Science and Technology, Clear Water Bay, Hong Kong; The Hong Kong University of Science and Technology, Clear Water Bay, Hong Kong; The Hong Kong University of Science and Technology, Clear Water Bay, Hong Kong; The Hong Kong University of Science and Technology, Clear Water Bay, Hong Kong; The Hong Kong University of Science and Technology, Clear Water Bay, Hong Kong; The Hong Kong University of Science and Technology, Clear Water Bay, Hong Kong",2023 IEEE International Conference on Robotics and Automation (ICRA),"4 Jul 2023","2023","","","10282","10288","This paper tackles the task of singulating and grasping paper-like deformable objects. We refer to such tasks as paper-flipping. In contrast to manipulating deformable objects that lack compression strength (such as shirts and ropes), minor variations in the physical properties of the paper-like deformable objects significantly impact the results, making manipulation highly challenging. Here, we present Flipbot, a novel solution for flipping paper-like deformable objects. Flipbot allows the robot to capture object physical properties by integrating exteroceptive and proprioceptive perceptions that are indispensable for manipulating deformable objects. Furthermore, by incorporating a proposed coarse-to-fine exploration process, the system is capable of learning the optimal control parameters for effective paper-flipping through proprioceptive and exteroceptive inputs. We deploy our method on a real-world robot with a soft gripper and learn in a self-supervised manner. The resulting policy demonstrates the effectiveness of Flipbot on paper-flipping tasks with various settings beyond the reach of prior studies, including but not limited to flipping pages throughout a book and emptying paper sheets in a box. The code is available here: https://robotll.github.io/Flipbot/.","","979-8-3503-2365-8","10.1109/ICRA48891.2023.10160774","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10160774","","Pneumatic actuators;Propioception;Process control;Optimal control;Grasping;Robustness;Encoding","","","","23","IEEE","4 Jul 2023","","","IEEE","IEEE Conferences"
"Continuity-Aware Latent Interframe Information Mining for Reliable UAV Tracking","C. Fu; M. Cai; S. Li; K. Lu; H. Zuo; C. Liu","School of Mechanical Engineering, Tongji University, Shanghai, China; School of Mechanical Engineering, Tongji University, Shanghai, China; School of Mechanical Engineering, Tongji University, Shanghai, China; School of Mechanical Engineering, Tongji University, Shanghai, China; School of Mechanical Engineering, Tongji University, Shanghai, China; College of Mechanical and Electrical Engineering, Harbin Engineering University, Harbin, China",2023 IEEE International Conference on Robotics and Automation (ICRA),"4 Jul 2023","2023","","","1327","1333","Unmanned aerial vehicle (UAV) tracking is crucial for autonomous navigation and has broad applications in robotic automation fields. However, reliable UAV tracking remains a challenging task due to various difficulties like frequent occlusion and aspect ratio change. Additionally, most of the existing work mainly focuses on explicit information to improve tracking performance, ignoring potential interframe connections. To address the above issues, this work proposes a novel framework with continuity-aware latent interframe information mining for reliable UAV tracking, i.e., ClimRT. Specifically, a new efficient continuity-aware latent interframe information mining network (ClimNet) is proposed for UAV tracking, which can generate highly-effective latent frame between two adjacent frames. Besides, a novel location-continuity Transformer (LCT) is designed to fully explore continuity-aware spatial-temporal information, thereby markedly enhancing UAV tracking. Extensive qualitative and quantitative experiments on three authoritative aerial benchmarks strongly validate the robustness and reliability of ClimRT in UAV tracking performance. Furthermore, real-world tests on the aerial platform validate its practicability and effectiveness. The code and demo materials are released at https://github.com/vision4robotics/ClimRT.","","979-8-3503-2365-8","10.1109/ICRA48891.2023.10160673","National Natural Science Foundation of China(grant numbers:62173249); Natural Science Foundation of Shanghai(grant numbers:20ZR1460100); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10160673","","Automation;Codes;Benchmark testing;Autonomous aerial vehicles;Transformers;Robustness;Task analysis","","4","","40","IEEE","4 Jul 2023","","","IEEE","IEEE Conferences"
"Option-Aware Adversarial Inverse Reinforcement Learning for Robotic Control","J. Chen; T. Lan; V. Aggarwal","School of Industrial Engineering, Purdue University, West Lafayette, IN, USA; Department of Electrical and Computer Engineering, George Washington University, Washington D.C., USA; CS Department, KAUST, Thuwal, Saudi Arabia",2023 IEEE International Conference on Robotics and Automation (ICRA),"4 Jul 2023","2023","","","5902","5908","Hierarchical Imitation Learning (HIL) has been proposed to recover highly-complex behaviors in long-horizon tasks from expert demonstrations by modeling the task hierarchy with the option framework. Existing methods either overlook the causal relationship between the subtask and its corresponding policy or cannot learn the policy in an end-to-end fashion, which leads to suboptimality. In this work, we develop a novel HIL algorithm based on Adversarial Inverse Reinforcement Learning and adapt it with the Expectation-Maximization algorithm in order to directly recover a hierarchical policy from the unannotated demonstrations. Further, we introduce a directed information term to the objective function to enhance the causality and propose a Variational Autoencoder framework for learning with our objectives in an end-to-end fashion. Theoretical justifications and evaluations on challenging robotic control tasks are provided to show the superiority of our algorithm. The codes are available at https://github.com/LucasCJYSDL/HierAIRL.","","979-8-3503-2365-8","10.1109/ICRA48891.2023.10160374","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10160374","","Codes;Automation;Reinforcement learning;Solids;Multitasking;Linear programming;Behavioral sciences","","","","43","IEEE","4 Jul 2023","","","IEEE","IEEE Conferences"
"STPOTR: Simultaneous Human Trajectory and Pose Prediction Using a Non-Autoregressive Transformer for Robot Follow-Ahead","M. Mahdavian; P. Nikdel; M. TaherAhmadi; M. Chen","School of Computing Science, Simon Fraser University (SFU), Burnaby, Canada; School of Computing Science, Simon Fraser University (SFU), Burnaby, Canada; School of Computing Science, Simon Fraser University (SFU), Burnaby, Canada; School of Computing Science, Simon Fraser University (SFU), Burnaby, Canada",2023 IEEE International Conference on Robotics and Automation (ICRA),"4 Jul 2023","2023","","","9959","9965","In this paper, we greatly expand the capability of robots to perform the follow-ahead task and variations of this task through development of a neural network model to predict future human motion from an observed human motion history. We propose a non-autoregressive transformer architecture to leverage its parallel nature for easier training and fast, accurate predictions at test time. The proposed architecture divides human motion prediction into two parts: 1) the human trajectory, which is the 3D positions of the hip joint over time, and 2) the human pose which is the 3D positions of all other joints over time with respect to a fixed hip joint. We propose to make the two predictions simultaneously, as the shared representation can improve the model performance. Therefore, the model consists of two sets of encoders and decoders. First, a multi-head attention module applied to encoder outputs improves human trajectory. Second, another multi-head self-attention module applied to encoder outputs concatenated with decoder outputs facilitates the learning of temporal dependencies. Our model is well-suited for robotic applications in terms of test accuracy and speed, and compares favorably with respect to state-of-the-art methods. We demonstrate the real-world applicability of our work via the Robot Follow-Ahead task, a challenging yet practical case study for our proposed model. The human motion predicted by our model enables the robot follow-ahead in scenarios that require taking detailed human motion into account such as sit-to-stand, stand-to-sit. It also enables simple control policies to trivially generalize to many different variations of human following, such as follow-beside. Our code and data are available at the following Github page: https://github.com/mmahdavian/STPOTR","","979-8-3503-2365-8","10.1109/ICRA48891.2023.10160538","CIFAR; SFU; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10160538","","Training;Three-dimensional displays;Predictive models;Transformers;Trajectory;Decoding;Task analysis","","14","","34","IEEE","4 Jul 2023","","","IEEE","IEEE Conferences"
"Uncertainty Quantification of Collaborative Detection for Self-Driving","S. Su; Y. Li; S. He; S. Han; C. Feng; C. Ding; F. Miao","Department of Computer Science and Engineering, University of Connecticut, Storrs Mansfield, CT, USA; Tandon School of Engineering, New York University, Brooklyn, NY, USA; Department of Computer Science and Engineering, University of Connecticut, Storrs Mansfield, CT, USA; Department of Computer Science and Engineering, University of Connecticut, Storrs Mansfield, CT, USA; Tandon School of Engineering, New York University, Brooklyn, NY, USA; Department of Computer Science and Engineering, University of Connecticut, Storrs Mansfield, CT, USA; Department of Computer Science and Engineering, University of Connecticut, Storrs Mansfield, CT, USA",2023 IEEE International Conference on Robotics and Automation (ICRA),"4 Jul 2023","2023","","","5588","5594","Sharing information between connected and autonomous vehicles (CAVs) fundamentally improves the performance of collaborative object detection for self-driving. However, CAVs still have uncertainties on object detection due to practical challenges, which will affect the later modules in self-driving such as planning and control. Hence, uncertainty quantification is crucial for safety-critical systems such as CAVs. Our work is the first to estimate the uncertainty of collaborative object detection. We propose a novel uncertainty quantification method, called Double- M Quantification, which tailors a moving block bootstrap (MBB) algorithm with direct modeling of the multivariant Gaussian distribution of each corner of the bounding box. Our method captures both the epistemic uncertainty and aleatoric uncertainty with one inference pass based on the offline Double- M training process. And it can be used with different collaborative object detectors. Through experiments on the comprehensive collaborative perception dataset, we show that our Double-M method achieves more than 4× improvement on uncertainty score and more than 3% accuracy improvement, compared with the state-of-the-art uncertainty quantification methods. Our code is public on https://coperception.github.io/double-m-quantification/.","","979-8-3503-2365-8","10.1109/ICRA48891.2023.10160367","NSF(grant numbers:1932250,1952096,2047354,2121391); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10160367","","Training;Uncertainty;Collaboration;Estimation;Object detection;Detectors;Gaussian distribution","","21","","43","IEEE","4 Jul 2023","","","IEEE","IEEE Conferences"
